Algorithm,Topology,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,No Fail/Fail
Minorminer,Zephyr,Complete,460,0,1143.6170036859985,0,0,1
Minorminer,Zephyr,Complete,425,1,1043.1900043109927,0,0,1
Minorminer,Zephyr,Complete,380,1,1033.016375872001,0,0,1
Minorminer,Zephyr,Complete,460,1,1152.1213010200008,0,0,1
Minorminer,Zephyr,Complete,425,2,1042.0010501869983,0,0,1
Minorminer,Zephyr,Complete,380,2,1112.9646739610034,0,0,1
Minorminer,Zephyr,Complete,430,0,1057.275080862004,0,0,1
Minorminer,Zephyr,Complete,460,2,1149.192762770006,0,0,1
Minorminer,Zephyr,Complete,495,0,1221.0385558850103,0,0,1
Minorminer,Zephyr,Complete,430,1,1097.8637742760038,0,0,1
Minorminer,Zephyr,Complete,465,0,1158.6800277440052,0,0,1
Minorminer,Zephyr,Complete,495,1,1195.9622465089924,0,0,1
Minorminer,Zephyr,Complete,430,2,1062.5209783129976,0,0,1
Minorminer,Zephyr,Complete,465,1,1146.0483824910043,0,0,1
Minorminer,Zephyr,Complete,495,2,1212.032241326,0,0,1
Minorminer,Zephyr,Complete,435,0,1122.3723895089934,0,0,1
Minorminer,Zephyr,Complete,465,2,1211.7008067970019,0,0,1
Minorminer,Zephyr,Complete,500,0,1209.5194907210098,0,0,1
Minorminer,Zephyr,Complete,435,1,1144.785634852,0,0,1
Minorminer,Zephyr,Complete,470,0,1153.7116344609967,0,0,1
Minorminer,Zephyr,Complete,500,1,1182.7709974070021,0,0,1
Minorminer,Zephyr,Complete,435,2,1123.1637656959938,0,0,1
Minorminer,Zephyr,Complete,470,1,1173.4506313479942,0,0,1
Minorminer,Zephyr,Complete,500,2,1227.4318208789919,0,0,1
Minorminer,Zephyr,Complete,550,0,1214.9809605159971,0,0,1
Minorminer,Zephyr,Complete,470,2,1151.5573292350018,0,0,1
Minorminer,Zephyr,Complete,505,0,1220.2786197550013,0,0,1
Minorminer,Zephyr,Complete,550,1,1227.1042050760007,0,0,1
Minorminer,Zephyr,Complete,475,0,1212.508693729993,0,0,1
Minorminer,Zephyr,Complete,505,1,1203.0553590559866,0,0,1
Minorminer,Zephyr,Complete,550,2,1233.3767506130098,0,0,1
Minorminer,Zephyr,Complete,475,1,1142.1679706549912,0,0,1
Minorminer,Zephyr,Complete,505,2,1233.3298529390013,0,0,1
Minorminer,Zephyr,Complete,475,2,1156.498940970996,0,0,1
Minorminer,Zephyr,Complete,555,0,1323.5767331280076,0,0,1
Minorminer,Zephyr,Complete,510,0,1212.501335865003,0,0,1
Minorminer,Zephyr,Complete,480,0,1206.904604145995,0,0,1
Minorminer,Zephyr,Complete,555,1,1210.4512459439866,0,0,1
Minorminer,Zephyr,Complete,510,1,1213.061101918007,0,0,1
Minorminer,Zephyr,Complete,480,1,1177.4516351219936,0,0,1
Minorminer,Zephyr,Complete,555,2,1216.8038122319995,0,0,1
Minorminer,Zephyr,Complete,510,2,1203.4620109730022,0,0,1
Minorminer,Zephyr,Complete,480,2,1175.004121765989,0,0,1
Minorminer,Zephyr,Complete,560,0,1253.1981904379936,0,0,1
Minorminer,Zephyr,Complete,515,0,1215.41226211701,0,0,1
Minorminer,Zephyr,Complete,485,0,1236.5289253219962,0,0,1
Minorminer,Zephyr,Complete,560,1,1257.6742939390097,0,0,1
Minorminer,Zephyr,Complete,515,1,1202.1924072289985,0,0,1
Minorminer,Zephyr,Complete,485,1,1162.1833953970054,0,0,1
Minorminer,Zephyr,Complete,560,2,1292.987967005989,0,0,1
Minorminer,Zephyr,Complete,515,2,1185.2651108479913,0,0,1
Minorminer,Zephyr,Complete,485,2,1174.3057397439989,0,0,1
Minorminer,Zephyr,Complete,565,0,1233.6698877750023,0,0,1
Minorminer,Zephyr,Complete,520,0,1182.8150249010068,0,0,1
Minorminer,Zephyr,Complete,490,0,1233.1921115949954,0,0,1
Minorminer,Zephyr,Complete,565,1,1272.4291843669926,0,0,1
Minorminer,Zephyr,Complete,520,1,1208.0339095129893,0,0,1
Minorminer,Zephyr,Complete,490,1,1197.3091570649995,0,0,1
Minorminer,Zephyr,Complete,565,2,1259.4662236239965,0,0,1
Minorminer,Zephyr,Complete,520,2,1247.8996445139928,0,0,1
Minorminer,Zephyr,Complete,490,2,1159.769019362997,0,0,1
Minorminer,Zephyr,Complete,570,0,1306.2467736679973,0,0,1
Minorminer,Zephyr,Complete,525,0,1179.8627586349903,0,0,1
Minorminer,Zephyr,Complete,570,1,1256.4330612880003,0,0,1
Minorminer,Zephyr,Complete,525,1,1206.7358463139972,0,0,1
Minorminer,Zephyr,Complete,570,2,1258.1868385900016,0,0,1
Minorminer,Zephyr,Complete,525,2,1259.3031959009968,0,0,1
Minorminer,Zephyr,Complete,530,0,1216.122925306001,0,0,1
Minorminer,Zephyr,Complete,575,0,1327.2898845059972,0,0,1
Minorminer,Zephyr,Complete,530,1,1199.4406542170036,0,0,1
Minorminer,Zephyr,Complete,575,1,1263.895628971004,0,0,1
Minorminer,Zephyr,Complete,530,2,1239.801232295009,0,0,1
Minorminer,Zephyr,Complete,575,2,1218.1560551400034,0,0,1
Minorminer,Zephyr,Complete,535,0,1269.3758853970066,0,0,1
Minorminer,Zephyr,Complete,580,0,1324.3631218660012,0,0,1
Minorminer,Zephyr,Complete,535,1,1191.9798417010024,0,0,1
Minorminer,Zephyr,Complete,580,1,1308.3235645629902,0,0,1
Minorminer,Zephyr,Complete,535,2,1267.9009528339957,0,0,1
Minorminer,Zephyr,Complete,580,2,1333.011258494007,0,0,1
Minorminer,Zephyr,Complete,540,0,1185.5323611799977,0,0,1
Minorminer,Zephyr,Complete,585,0,1339.843448767002,0,0,1
Minorminer,Zephyr,Complete,540,1,1267.1624683800037,0,0,1
Minorminer,Zephyr,Complete,585,1,1311.7205960830033,0,0,1
Minorminer,Zephyr,Complete,540,2,1258.0072659970028,0,0,1
Minorminer,Zephyr,Complete,585,2,1243.199795966997,0,0,1
Minorminer,Zephyr,Complete,545,0,1274.2186396250036,0,0,1
Minorminer,Zephyr,Complete,590,0,1310.6156758520083,0,0,1
Minorminer,Zephyr,Complete,545,1,1316.6382429280056,0,0,1
Minorminer,Zephyr,Complete,590,1,1343.952569118992,0,0,1
Minorminer,Zephyr,Complete,545,2,1288.1963485110027,0,0,1
Minorminer,Zephyr,Complete,590,2,1346.4469987280027,0,0,1
Minorminer,Zephyr,Complete,595,0,1282.4306220410072,0,0,1
Minorminer,Zephyr,Complete,595,1,1367.154856232999,0,0,1
Minorminer,Zephyr,Complete,595,2,1240.5211251029978,0,0,1
Minorminer,Zephyr,Complete,600,0,1319.706487161995,0,0,1
Minorminer,Zephyr,Complete,600,1,1292.3338582139986,0,0,1
Minorminer,Zephyr,Complete,600,2,1274.5267491379927,0,0,1
Busclique,Zephyr,Complete,0,0,0.187608084,0,0,1
Busclique,Zephyr,Complete,110,0,0.07831334499999999,990,9,0
Busclique,Zephyr,Complete,55,0,0.08285265,275,5,0
Busclique,Zephyr,Complete,5,0,0.07324709199999999,10,2,0
Busclique,Zephyr,Complete,115,0,0.07207402599999999,1035,9,0
Busclique,Zephyr,Complete,60,0,0.07332460800000001,360,6,0
Busclique,Zephyr,Complete,10,0,0.06783635300000002,30,3,0
Busclique,Zephyr,Complete,120,0,0.07223467500000003,1080,9,0
Busclique,Zephyr,Complete,65,0,0.07071001800000004,390,6,0
Busclique,Zephyr,Complete,15,0,0.06866849000000003,45,3,0
Busclique,Zephyr,Complete,125,0,0.07241147600000003,1250,10,0
Busclique,Zephyr,Complete,70,0,0.07359943499999999,420,6,0
Busclique,Zephyr,Complete,20,0,0.07132068000000003,60,3,0
Busclique,Zephyr,Complete,130,0,0.073675406,1300,10,0
Busclique,Zephyr,Complete,75,0,0.06964532900000003,525,7,0
Busclique,Zephyr,Complete,25,0,0.07093482100000004,100,4,0
Busclique,Zephyr,Complete,135,0,0.06956866300000009,1350,10,0
Busclique,Zephyr,Complete,80,0,0.06377557,560,7,0
Busclique,Zephyr,Complete,30,0,0.06860312499999999,120,4,0
Busclique,Zephyr,Complete,140,0,0.06747140600000001,1540,11,0
Busclique,Zephyr,Complete,85,0,0.06486746799999998,595,7,0
Busclique,Zephyr,Complete,35,0,0.06822964799999998,140,4,0
Busclique,Zephyr,Complete,145,0,0.06778333999999997,1595,11,0
Busclique,Zephyr,Complete,40,0,0.06699549699999996,160,4,0
Busclique,Zephyr,Complete,90,0,0.06457935700000006,720,8,0
Busclique,Zephyr,Complete,45,0,0.06738502499999999,225,5,0
Busclique,Zephyr,Complete,150,0,0.06808582699999999,1650,11,0
Busclique,Zephyr,Complete,95,0,0.06347882599999999,760,8,0
Busclique,Zephyr,Complete,50,0,0.06944209599999995,250,5,0
Busclique,Zephyr,Complete,155,0,0.06722027500000005,1860,12,0
Busclique,Zephyr,Complete,100,0,0.06406340899999996,800,8,0
Busclique,Zephyr,Complete,165,0,0.07239983100000003,1980,12,0
Busclique,Zephyr,Complete,105,0,0.06824165199999999,945,9,0
Busclique,Zephyr,Complete,160,0,0.06808812499999994,1920,12,0
Busclique,Zephyr,Complete,220,0,0.066597024,3520,16,0
